.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR35320041_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320041_2	1	0.25	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR35320051_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320051_2	1	0.25	0.25	1	0.25	0.5	0.5	0.5	0.25	0.25	1
SRR35320062_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320062_2	1	0.25	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR35320071_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320071_2	1	0.25	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR35320072_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320072_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320073_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320073_2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR35320074_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320074_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320075_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320075_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320076_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320076_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320077_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320077_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320078_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320078_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320079_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320079_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320080_1	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320080_2	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320081_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320081_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320082_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320082_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320083_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320084_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320084_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320085_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320085_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320086_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320086_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320087_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320087_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320088_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320088_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320089_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320089_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320090_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320090_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320091_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320091_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320092_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320092_2	1	0.25	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR35320093_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320093_2	1	0.25	0.25	1	0.25	0.25	0.25	0.5	0.25	0.25	1
SRR35320094_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320094_2	1	0.25	0.25	1	0.25	0.25	0.25	0.5	0.25	0.25	1
SRR35320095_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320095_2	1	0.25	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR35320100_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320100_2	1	0.25	0.25	1	0.25	0.25	0.5	0.5	0.25	0.5	1
SRR35320110_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320110_2	1	0.25	0.25	1	0.25	0.25	0.25	0.5	0.25	0.5	1
SRR35320111_1	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320111_2	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320112_1	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320112_2	1	0.25	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR35320113_1	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320113_2	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
