Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR35320041_1	3.745496853053729	76.36916693533699
SRR35320041_2	1.795651747291103	73.89646616857536
SRR35320051_1	3.019279738086577	77.58503092033459
SRR35320051_2	1.5050927610040015	75.27396325936697
SRR35320062_1	6.469305079464008	76.74789654097849
SRR35320062_2	2.8382673730134	78.80087254596442
SRR35320071_1	5.838897982241407	71.54424439068903
SRR35320071_2	1.4412561380129496	72.246766226806
SRR35320072_1	5.611093195743309	74.4512522842094
SRR35320072_2	1.8273675158551006	76.66344190046216
SRR35320073_1	3.458755110518376	78.80583309648215
SRR35320073_2	1.493255208902687	76.77911629025559
SRR35320074_1	4.351023653349235	80.0099383820314
SRR35320074_2	1.798847147684357	76.84953289604451
SRR35320075_1	8.045750899280575	76.17749550359714
SRR35320075_2	3.90625	75.14613309352525
SRR35320076_1	5.856828043710385	75.66849171910854
SRR35320076_2	3.1510552740986437	70.21832473816934
SRR35320077_1	4.949423561111357	75.75864658332961
SRR35320077_2	1.2655152612747913	75.05411016387649
SRR35320078_1	3.9751025604753147	76.6727967180648
SRR35320078_2	1.6947234403734617	72.50530485217138
SRR35320079_1	4.6818152109975815	77.66279601751593
SRR35320079_2	2.3441755081588638	74.30339208296117
SRR35320080_1	5.290541441939356	77.39132092012733
SRR35320080_2	2.4451601837205312	77.55140934992659
SRR35320081_1	6.260325189113989	79.52641799263834
SRR35320081_2	3.0837898153783727	77.28313479987241
SRR35320082_1	11.12566434094859	72.37852950807284
SRR35320082_2	5.075438905821012	72.7336842900683
SRR35320083_2	2.6241302040334946	76.70912450367581
SRR35320084_1	6.197920648268481	75.51983793287972
SRR35320084_2	2.876309150676554	73.8819662105343
SRR35320085_1	7.5364521871312276	69.35616136968211
SRR35320085_2	2.790167410044603	68.82212932775971
SRR35320086_1	8.757304455047446	75.74652870851875
SRR35320086_2	4.615879483193052	74.71184259904581
SRR35320087_1	5.0094441988506215	74.31981674235423
SRR35320087_2	1.8627175179841657	75.49933689667644
SRR35320088_1	5.734950321449444	74.18420027274499
SRR35320088_2	1.7119618157023182	71.82933956750435
SRR35320089_1	6.664851391827074	74.71880694552084
SRR35320089_2	2.4317701024233918	74.60360681146972
SRR35320090_1	7.012276487856953	75.05337603416065
SRR35320090_2	2.3352014945289565	74.75980784627698
SRR35320091_1	4.690449226123065	78.77312193280487
SRR35320091_2	2.229143072857682	75.42846357115893
SRR35320092_1	5.416924451776999	76.60823537499144
SRR35320092_2	1.798308929676222	75.11651886987012
SRR35320093_1	5.53810800459594	79.11400485127027
SRR35320093_2	1.5498531852419253	78.62887782458829
SRR35320094_1	4.377820760799485	79.56802063185043
SRR35320094_2	1.0939179024285408	74.91510853212982
SRR35320095_1	7.745659210127713	69.67585580127229
SRR35320095_2	1.9770723385258056	72.03877612844589
SRR35320100_1	4.638366541901069	70.04617074209385
SRR35320100_2	0.9984983302328708	66.65396597709397
SRR35320110_1	5.212885354729326	72.39057239057239
SRR35320110_2	0.8501086515270913	69.93576426200535
SRR35320111_1	3.9139650667937365	78.61121608964987
SRR35320111_2	1.4903301072971953	75.6699912913457
SRR35320112_1	4.051824922727054	75.28707099501923
SRR35320112_2	1.3692926122259412	74.39502890728845
SRR35320113_1	4.253626071544833	74.59941404130642
SRR35320113_2	1.4251094151264152	77.63410134915182
SRR35320114_1	5.354248299276315	73.01178062259893
SRR35320114_2	1.2801694980152907	76.14009113071002
SRR35320115_1	4.168868223607736	78.77346859699178
SRR35320115_2	2.597837190461094	78.39480080312799
SRR35320116_1	3.294019122060158	78.92735012910876
SRR35320116_2	1.6051364365971106	79.4874031683998
SRR35320117_1	5.62089616855473	75.47983259975473
SRR35320117_2	2.8212713760011545	76.10036799191862
SRR35320118_1	4.755753875058713	78.24389384687645
SRR35320118_2	2.6919915453264442	78.54626585251293
SRR35320119_1	6.846925425207153	69.81448555805294
SRR35320119_2	1.588446442349626	70.5172934348687
SRR35320120_1	5.185750805086153	74.16254440423614
SRR35320120_2	1.2217389860894392	73.01716410477744
SRR35320121_1	5.7666719889296925	74.07525679919097
SRR35320121_2	1.8548086646442068	69.76954601096386
SRR35320122_1	3.7705840612689325	75.27710489613155
SRR35320122_2	1.132888008025643	67.59646675964666
SRR35320123_1	5.990652516332275	72.90779043044904
SRR35320123_2	1.1284117024298295	66.46783897539183
SRR35320124_1	4.044274159216688	75.50730807435782
SRR35320124_2	0.8429118773946359	71.08840641407693
SRR35320125_1	3.6873344054795156	77.17485624370882
SRR35320125_2	1.471694183799794	76.42975321354615
SRR35320126_1	3.936915430673502	77.43383033955568
SRR35320126_2	1.5171082325623868	75.33492479682761
SRR35320128_1	4.283465796011811	76.9215760240383
SRR35320128_2	1.57784512923241	72.80851229886704
SRR35320139_1	6.956996166867184	71.49771970566016
SRR35320139_2	1.9487423407291347	69.95467390391985
SRR35320140_1	7.145251108590285	72.90270186655668
SRR35320140_2	1.5146437042384242	75.58781066309167
SRR35320141_1	4.7157760272514375	74.80306578667236
SRR35320141_2	2.158824781775601	74.94358100915483
