Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
SRR35320041_1	(1, 0.0336421873028778)	(2, 0.007008789021432878)	(3, 0.007008789021432878)	(4, 0.007008789021432878)	(5, 0.007008789021432878)	(6, 0.012615820238579179)	(7, 0.007008789021432878)	(8, 0.007008789021432878)	(9, 0.007008789021432878)	(10, 0.007008789021432878)	(15, 0.007008789021432878)	(20, 0.008690898386576766)	(25, 0.012615820238579179)	(30, 0.013456874921151125)	(35, 0.08018549203331904)	(40, 0.0745816697321789)	(45, 0.07963815116106254)	(50, 0.08076547724544852)	(55, 0.06197680777374259)	(60, 0.067866387348808)	(65, 0.05468833259480713)	(70, 0.050203055935740086)	(75, 0.04908381552338774)	(80, 0.044880533629544854)	(85, 0.03674665843840727)	(90, 0.031136481577581736)	(95, 0.03450345876135388)	(100, 0.03338186326901013)	(105, 0.04768850987432675)	(110, 0.030016214366265143)	(115, 0.03141919376104581)	(120, 0.04432350548433248)	(125, 0.02945623784930189)	(130, 0.01823486506199854)	(135, 0.01795432867642933)	(140, 0.04432474891993492)	(145, 0.020759692532121416)	(150, 0.02216274750739226)	(155, 0.02665252679981708)	(160, 0.08388814539863702)	(165, 0.08669644460405818)	(170, 0.08305158457372933)	(175, 0.05920231197654354)	(180, 0.02188521485388813)	(185, 0.0011223502013215673)	(190, 0.0)	(195, 0.0014029377516519591)	(200, 0.00028058755033039183)	(205, 0.021324653825109778)	(210, 0.0008417626509911756)	(215, 0.0)	(220, 0.00028058755033039183)	(225, 0.0002806032970887408)	(230, 0.0033675230464858493)	(235, 0.005893165331350237)	(240, 0.07015673013512187)	(245, 0.026378930530805818)	(250, 0.021608272881617534)	(255, 0.010944634182618236)	(260, 0.0014031739795417235)	(265, 0.0011225454841398356)	(270, 0.0030870260713383663)	(275, 0.0019644987020276433)	(280, 0.01234827755560233)	(285, 0.06005803739314441)	(290, 0.001964526268522676)	(295, 0.0)	(300, 0.006163755576272622)
SRR35320041_2	(1, 0.5999523402346543)	(2, 0.06307910119289589)	(3, 11.242097590378334)	(4, 0.05186503875860329)	(5, 0.07148964801861535)	(6, 0.0336421873028778)	(7, 0.0014017578042865753)	(8, 0.0014017578042865753)	(9, 0.0014017578042865753)	(10, 0.0014017578042865753)	(15, 0.08298406201376526)	(20, 0.08102160108776406)	(25, 0.025792343598872988)	(30, 0.006728437460575562)	(35, 0.05999590682131032)	(40, 0.027194482603941802)	(45, 0.002803554907622866)	(50, 0.03700692478062183)	(55, 0.02691412711317951)	(60, 0.013737419047352043)	(65, 0.0)	(70, 0.03672656928985954)	(75, 0.047099722448064145)	(80, 0.013737419047352043)	(85, 0.003644682688317951)	(90, 0.06336211730402602)	(95, 0.12307951104631604)	(100, 0.08018391835819222)	(105, 0.03392396545923517)	(110, 0.0)	(115, 0.0)	(120, 0.009532353930694178)	(125, 0.00140181675451385)	(130, 0.024952338230346528)	(135, 0.02158797801951329)	(140, 0.036727598968262866)	(145, 0.02355052147583268)	(150, 0.00084109005270831)	(155, 0.00756981047437479)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.08635191207805316)	(180, 0.09672535606145564)	(185, 0.0)	(190, 0.07936218602159885)	(195, 0.05047814016096919)	(200, 0.03309122521663535)	(205, 0.0232760312964469)	(210, 0.014582573824279986)	(215, 0.000841302336016153)	(220, 0.03140862054460305)	(225, 0.007572145721737668)	(230, 0.01570651259325742)	(235, 0.003926628148314355)	(240, 0.001682840634991866)	(245, 0.0005609468783306221)	(250, 0.04740001121893757)	(255, 0.12088608660043643)	(260, 0.0)	(265, 0.07292554862451196)	(270, 0.06198723792160437)	(275, 0.08779311118590823)	(280, 0.0030853809042970942)	(285, 0.0)	(290, 0.0011219724275275936)	(295, 0.0553448518050288)	(300, 0.0)
SRR35320051_1	(1, 0.022735540196435065)	(2, 0.004547108039287013)	(3, 0.004547108039287013)	(4, 0.004547108039287013)	(5, 0.004547108039287013)	(6, 0.005683885049108766)	(7, 0.004547108039287013)	(8, 0.004547108039287013)	(9, 0.004547108039287013)	(10, 0.004547108039287013)	(15, 0.004547108039287013)	(20, 0.005683885049108766)	(25, 0.009548926882502728)	(30, 0.01045834849036013)	(35, 0.0804867401506057)	(40, 0.07275769867399094)	(45, 0.07663096618687042)	(50, 0.0795930294698877)	(55, 0.05844495485866327)	(60, 0.06367601642841224)	(65, 0.050942666757635716)	(70, 0.04866844056309841)	(75, 0.045942294658412215)	(80, 0.04071494534189181)	(85, 0.03411991101527207)	(90, 0.028205857264714244)	(95, 0.029571127660832815)	(100, 0.030481701879856597)	(105, 0.04344809544932383)	(110, 0.027979790856750293)	(115, 0.030027297543221112)	(120, 0.03935395814376706)	(125, 0.027297853706252345)	(130, 0.017061236188929307)	(135, 0.017288837325689848)	(140, 0.04026479219272504)	(145, 0.019108714938920357)	(150, 0.021383561955458496)	(155, 0.026844110788830124)	(160, 0.0757568863692204)	(165, 0.08349353323247374)	(170, 0.07553299677164692)	(175, 0.05574009191427401)	(180, 0.022296036765709605)	(185, 0.002275245555876618)	(190, 0.0004550573941138326)	(195, 0.0015927008793984142)	(200, 0.000455060500293514)	(205, 0.017064846416382253)	(210, 0.0034129692832764505)	(215, 0.0)	(220, 0.0018202709928440595)	(225, 0.0006826031754699723)	(230, 0.00386811986620856)	(235, 0.0029579874763361004)	(240, 0.04937653590607081)	(245, 0.02070628925093292)	(250, 0.014107581687448804)	(255, 0.010011832165286247)	(260, 0.00227541640120142)	(265, 0.0009101665604805679)	(270, 0.002502986518004437)	(275, 0.0027305307469139314)	(280, 0.00955685761419876)	(285, 0.044598668866260884)	(290, 0.00159280960236646)	(295, 0.0)	(300, 0.005103505470319926)
SRR35320051_2	(1, 0.5365587486358676)	(2, 0.04774463441251364)	(3, 11.089259730811204)	(4, 0.03069297926518734)	(5, 0.055702073481265914)	(6, 0.027282648235722077)	(7, 0.0011367770098217533)	(8, 0.0011367770098217533)	(9, 0.0011367770098217533)	(10, 0.0011367770098217533)	(15, 0.06229538013823208)	(20, 0.055702073481265914)	(25, 0.01773372135321935)	(30, 0.004774463441251364)	(35, 0.04297056175483589)	(40, 0.01659713301579001)	(45, 0.0011367951017772656)	(50, 0.02000773025941841)	(55, 0.01409635541004479)	(60, 0.007730276994013583)	(65, 0.0)	(70, 0.02182686295685784)	(75, 0.03569601546069459)	(80, 0.007957710453021087)	(85, 0.0020463102752059955)	(90, 0.04547418203315068)	(95, 0.09367681498829039)	(100, 0.06025329119392465)	(105, 0.025010800118232875)	(110, 0.0)	(115, 0.0)	(120, 0.0059116436643095885)	(125, 0.0009094836406630136)	(130, 0.01682544735226575)	(135, 0.01273277096928219)	(140, 0.02478342920806712)	(145, 0.016143334621768493)	(150, 0.0013642254609945205)	(155, 0.006139014574475341)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.06411859666674245)	(180, 0.07093972397171507)	(185, 0.0)	(190, 0.06049661810258953)	(195, 0.032750346835270304)	(200, 0.0245629277190365)	(205, 0.017739972935169497)	(210, 0.010689470871191877)	(215, 0.0015920488531562368)	(220, 0.02046919954058019)	(225, 0.005913337760755452)	(230, 0.010007278020378457)	(235, 0.0027292576419213972)	(240, 0.002046943231441048)	(245, 0.0009097525473071326)	(250, 0.032296215429403204)	(255, 0.08710880640465793)	(260, 0.0)	(265, 0.05458515283842794)	(270, 0.04617046682208449)	(275, 0.0602717916642975)	(280, 0.0020469665093535)	(285, 0.0)	(290, 0.0018195257860919999)	(295, 0.041450682797511136)	(300, 0.0)
SRR35320062_1	(1, 0.02243689622935494)	(2, 0.0024929884699283265)	(3, 0.0024929884699283265)	(4, 0.0024929884699283265)	(5, 0.0024929884699283265)	(6, 0.0037394827048924896)	(7, 0.0024929884699283265)	(8, 0.0024929884699283265)	(9, 0.0024929884699283265)	(10, 0.0024929884699283265)	(15, 0.0024929884699283265)	(20, 0.004487379245870988)	(25, 0.007478965409784979)	(30, 0.009971953879713306)	(35, 0.07179967889588049)	(40, 0.06282722513089005)	(45, 0.07255410391941756)	(50, 0.07978657092278156)	(55, 0.06058807836058134)	(60, 0.06333169601783262)	(65, 0.053110187431586346)	(70, 0.05236398455013103)	(75, 0.04588460023042049)	(80, 0.04439079863535702)	(85, 0.036412064863355)	(90, 0.029928396311823962)	(95, 0.028183908734018725)	(100, 0.026688083645941416)	(105, 0.03766290453326682)	(110, 0.026189436927106065)	(115, 0.026189436927106065)	(120, 0.036166635904240726)	(125, 0.023446074029731617)	(130, 0.015464431806844257)	(135, 0.01696115894601363)	(140, 0.032675255353379146)	(145, 0.016961243558468897)	(150, 0.01770975458271079)	(155, 0.026939587973968372)	(160, 0.07333774024969754)	(165, 0.07259229324292973)	(170, 0.06685776011535459)	(175, 0.04764874641387053)	(180, 0.01821130098540601)	(185, 0.00024947112122300724)	(190, 0.0)	(195, 0.002993675859746286)	(200, 0.000997891953248762)	(205, 0.01895994711172648)	(210, 0.00473998677793162)	(215, 0.0)	(220, 0.002993675859746286)	(225, 0.0012473711652691952)	(230, 0.005238998103981638)	(235, 0.005737993249126203)	(240, 0.05538549049839457)	(245, 0.023451631011039732)	(250, 0.018461922285286595)	(255, 0.01222478637809518)	(260, 0.0037422815443148507)	(265, 0.001746398054013597)	(270, 0.004490771464640164)	(275, 0.0044909059155210694)	(280, 0.011975749108056186)	(285, 0.04815249120530925)	(290, 0.0029939746260650444)	(295, 0.00025657670232227575)	(300, 0.009894622272794735)
SRR35320062_2	(1, 0.5397320037394827)	(2, 0.05733873480835151)	(3, 11.391710813337488)	(4, 0.039887815518853224)	(5, 0.054845746338423186)	(6, 0.02243689622935494)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.06955437831100031)	(20, 0.05808663134933001)	(25, 0.01894671237145528)	(30, 0.008226861950763477)	(35, 0.05135556248052353)	(40, 0.024680585852290438)	(45, 0.0037394827048924896)	(50, 0.030414459333125584)	(55, 0.02567784525483392)	(60, 0.012963701635420821)	(65, 0.0)	(70, 0.03340671175741741)	(75, 0.04238186056367875)	(80, 0.014709108677875508)	(85, 0.0067314884068810765)	(90, 0.053103964098728494)	(95, 0.10595861381201696)	(100, 0.07429568686113189)	(105, 0.029419097481924707)	(110, 0.0)	(115, 0.0002493143854400399)	(120, 0.010969832959361756)	(125, 0.0029917726252804786)	(130, 0.02169067600113689)	(135, 0.018449724500735495)	(140, 0.02742526614974195)	(145, 0.01994564810890324)	(150, 0.0012466030068064525)	(155, 0.00997282405445162)	(160, 0.0002493206013612905)	(165, 0.0)	(170, 0.0)	(175, 0.06856572960169545)	(180, 0.0715576887115876)	(185, 0.0)	(190, 0.06707928322419442)	(195, 0.042392429210877394)	(200, 0.030921536600875276)	(205, 0.02319115245065646)	(210, 0.014213932147176539)	(215, 0.0024936723065221997)	(220, 0.02543545752652644)	(225, 0.006732948807145903)	(230, 0.009725443255779157)	(235, 0.004987406797835465)	(240, 0.0034911847584848258)	(245, 0.0022443330590259593)	(250, 0.03989925438268372)	(255, 0.10747861649335429)	(260, 0.0)	(265, 0.06383880701229395)	(270, 0.0511213021219081)	(275, 0.0718213444057906)	(280, 0.0032419356849836033)	(285, 0.0)	(290, 0.001246913888126886)	(295, 0.04897208591103071)	(300, 0.0)
SRR35320071_1	(1, 0.021727479467531903)	(2, 0.0014484986311687935)	(3, 0.0014484986311687935)	(4, 0.0014484986311687935)	(5, 0.0014484986311687935)	(6, 0.004345495893506381)	(7, 0.0014484986311687935)	(8, 0.0014484986311687935)	(9, 0.0014484986311687935)	(10, 0.0014484986311687935)	(15, 0.0014484986311687935)	(20, 0.0040557961672726215)	(25, 0.006373393977142692)	(30, 0.012167388501817866)	(35, 0.0741646338990318)	(40, 0.06866181881391778)	(45, 0.07706816476362383)	(50, 0.08431410044677781)	(55, 0.06548162313297695)	(60, 0.07127666355676346)	(65, 0.059979137691237826)	(70, 0.05882404077694098)	(75, 0.04955501911200884)	(80, 0.046370628843690406)	(85, 0.04144447020635289)	(90, 0.03390950509512051)	(95, 0.0350693126124899)	(100, 0.033910979331692855)	(105, 0.04347687465037347)	(110, 0.03101404327473515)	(115, 0.03246348582476095)	(120, 0.04173913043478261)	(125, 0.029855072463768114)	(130, 0.020869807186170274)	(135, 0.020000579726948606)	(140, 0.039421889583925146)	(145, 0.020000869603026217)	(150, 0.02029103136413705)	(155, 0.023770734167821383)	(160, 0.06233076472600556)	(165, 0.06465342286237809)	(170, 0.060307335459553496)	(175, 0.04726007538416932)	(180, 0.02029573789504204)	(185, 0.0005798782255726297)	(190, 0.0)	(195, 0.002029573789504204)	(200, 0.0008698173383589446)	(205, 0.015076833864888374)	(210, 0.0008698173383589446)	(215, 0.0)	(220, 0.00028993911278631486)	(225, 0.0)	(230, 0.002319613784304913)	(235, 0.004349275845571712)	(240, 0.05596068254635603)	(245, 0.023196137843049133)	(250, 0.014207634428867593)	(255, 0.010728213752410223)	(260, 0.0002899517230381141)	(265, 0.0)	(270, 0.0017397103382286849)	(275, 0.0005799034460762282)	(280, 0.008988503414181538)	(285, 0.05248126186989866)	(290, 0.0008698652578715556)	(295, 0.0)	(300, 0.00584560911246952)
SRR35320071_2	(1, 0.5707084606805046)	(2, 0.044903457566232596)	(3, 11.711111432999695)	(4, 0.044903457566232596)	(5, 0.057939945246751744)	(6, 0.02027898083636311)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.06865883511740081)	(20, 0.060257543056621815)	(25, 0.018830482205194315)	(30, 0.004924895345973897)	(35, 0.05388414907947912)	(40, 0.026072975361038284)	(45, 0.002896997262337587)	(50, 0.030418471254544662)	(55, 0.024045077277401974)	(60, 0.010429190144415314)	(65, 0.0)	(70, 0.03360516824311601)	(75, 0.04055796167272622)	(80, 0.01100858959688283)	(85, 0.0031868077746521313)	(90, 0.05243868874306491)	(95, 0.10690539307287819)	(100, 0.07155997856097808)	(105, 0.02926136775165501)	(110, 0.0)	(115, 0.00028971651239262386)	(120, 0.00840177885938609)	(125, 0.001448582561963119)	(130, 0.023756754016195154)	(135, 0.0182521402807353)	(140, 0.0304202338012255)	(145, 0.02056987237987629)	(150, 0.0011588660495704954)	(155, 0.008981211884171338)	(160, 0.00028971651239262386)	(165, 0.0)	(170, 0.0)	(175, 0.0704062119719534)	(180, 0.07649069942631975)	(185, 0.0)	(190, 0.05969612931456673)	(195, 0.04086068246033471)	(200, 0.027530247047743248)	(205, 0.01854669274795334)	(210, 0.013620227486778238)	(215, 0.0011591682967470839)	(220, 0.021444613489821053)	(225, 0.006665275652617425)	(230, 0.009273615115992638)	(235, 0.0017388028342486199)	(240, 0.00144900236187385)	(245, 0.00028980047237476994)	(250, 0.03709446046397055)	(255, 0.10143016533116948)	(260, 0.0)	(265, 0.061147899671076464)	(270, 0.04289046991146596)	(275, 0.06346630345007463)	(280, 0.00144900236187385)	(285, 0.0)	(290, 0.0008694114953587917)	(295, 0.04554936303422585)	(300, 0.0)
SRR35320072_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.008599376545200474)	(5, 0.0021498441363001185)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0004299688272600237)	(15, 0.0004299688272600237)	(20, 0.0)	(25, 0.0004299688272600237)	(30, 0.0)	(35, 0.0021498441363001185)	(40, 0.0008599376545200474)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0004299688272600237)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0004300150505267685)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0025800903031606105)	(275, 0.0081702859600086)	(280, 0.006020210707374758)	(285, 0.003870135454740916)	(290, 0.004730165555794453)	(295, 0.003581854325984562)	(300, 0.023803856224708403)
SRR35320072_2	(1, 0.41491991830592284)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0004299688272600237)	(55, 0.0017198827039995872)	(60, 0.023648793911510514)	(65, 0.025368706195984005)	(70, 0.006879649137893968)	(75, 0.000429978071118373)	(80, 0.0021498903555918648)	(85, 0.001719912284473492)	(90, 0.000859956142236746)	(95, 0.001289934213355119)	(100, 0.0)	(105, 0.000859956142236746)	(110, 0.000429978071118373)	(115, 0.000859956142236746)	(120, 0.000429978071118373)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.000429978071118373)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.00430024296372745)	(175, 0.009890558816573136)	(180, 0.007310413038336665)	(185, 0.0086004859274549)	(190, 0.0025801457782364703)	(195, 0.0038702186673547053)	(200, 0.0649336687522845)	(205, 0.03139177363521039)	(210, 0.014190801780300587)	(215, 0.020641876346559902)	(220, 0.003013591296748335)	(225, 0.0956904800903456)	(230, 0.10862958604368461)	(235, 0.08362789895680663)	(240, 0.08233645867011533)	(245, 0.06983812213049383)	(250, 0.09398172098637696)	(255, 0.06509799187783995)	(260, 0.07027225108318423)	(265, 0.06811812890709204)	(270, 0.079327441258892)	(275, 0.05087303298124596)	(280, 0.05820470811416746)	(285, 0.06253423210119333)	(290, 0.11565233527094149)	(295, 0.09721322099805574)	(300, 0.133948744432251)
