Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
SRR35320041_1	(1, 33.02039557605237)	(2, 33.56260951232846)	(3, 33.840564067340445)	(4, 33.851876252821036)	(5, 33.951359004191254)	(6, 37.11450959503217)	(7, 35.52334627623039)	(8, 34.80783302261035)	(9, 33.18458346766845)	(10, 25.933755729685025)	(15, 30.3954863398702)	(20, 36.71261161496516)	(25, 37.0314582486438)	(30, 36.51041646224366)	(35, 36.97567385670915)	(40, 36.1951148984155)	(45, 37.10407676314658)	(50, 36.38275105047295)	(55, 36.41873887011512)	(60, 36.88199426597102)	(65, 36.157789356074645)	(70, 36.25421604161764)	(75, 35.602731833842654)	(80, 35.84365379692838)	(85, 35.2141853321926)	(90, 35.96123928806856)	(95, 36.08833736375353)	(100, 34.59372056829015)	(105, 34.906118155296234)	(110, 34.56980981938823)	(115, 33.857297949336555)	(120, 34.01154935899235)	(125, 33.91849281254903)	(130, 33.981262974807834)	(135, 33.76449531504236)	(140, 34.033142568591146)	(145, 33.87835381248948)	(150, 33.5489180506809)	(155, 33.68521454599989)	(160, 33.142447172251686)	(165, 32.707515581206515)	(170, 32.98076626309957)	(175, 33.110354793002344)	(180, 32.72015824693817)	(185, 32.49499010928885)	(190, 32.77414666311256)	(195, 32.153242890612944)	(200, 32.882200928744794)	(205, 32.5271342190547)	(210, 32.28454383479005)	(215, 31.3463320192483)	(220, 31.519785631111546)	(225, 31.321383121126484)	(230, 30.84123251343501)	(235, 31.07172543462094)	(240, 30.864583479493188)	(245, 30.897624493117622)	(250, 30.449530651475396)	(255, 31.04227773804542)	(260, 30.87073680665666)	(265, 30.85754415588333)	(270, 30.105037465270954)	(275, 29.104236301129582)	(280, 29.94799691293061)	(285, 29.411261077359747)	(290, 27.318693870678043)	(295, 27.900054068415976)	(300, 27.011298156853396)
SRR35320041_2	(1, 33.640757509917435)	(2, 33.47240639762262)	(3, 30.286168855745103)	(4, 32.66074657620656)	(5, 33.457211343024156)	(6, 37.491316110402444)	(7, 35.177252274352035)	(8, 34.571286393136994)	(9, 37.25596097506273)	(10, 37.43995290093777)	(15, 37.29661195138704)	(20, 37.560843297495055)	(25, 37.08317470107515)	(30, 36.330335440642564)	(35, 36.39723051489264)	(40, 36.55286383133814)	(45, 36.60839664694833)	(50, 37.175457680338674)	(55, 36.40522862990271)	(60, 35.05565056491632)	(65, 36.05092096778715)	(70, 36.03285485996243)	(75, 37.018573551263)	(80, 36.15489640864617)	(85, 35.45381432904428)	(90, 36.63038858360435)	(95, 35.58780980150275)	(100, 36.58722384209936)	(105, 35.78835090276999)	(110, 36.39881125939217)	(115, 36.469364696646856)	(120, 36.093492766625545)	(125, 34.889133116519005)	(130, 35.39180778288662)	(135, 34.271156218459126)	(140, 34.10226253224179)	(145, 33.55072614107884)	(150, 35.53763317259168)	(155, 33.94191992822698)	(160, 34.949657956711896)	(165, 33.97697936525737)	(170, 33.47994841314343)	(175, 32.34609453852192)	(180, 33.04826735449142)	(185, 32.345780224841555)	(190, 31.66313545931252)	(195, 33.28865644016938)	(200, 31.552441178945003)	(205, 31.112672817521524)	(210, 31.058512577469923)	(215, 31.185978294399728)	(220, 30.156628060237246)	(225, 27.736119636605782)	(230, 30.20974084254221)	(235, 29.226538396813822)	(240, 27.67868962809222)	(245, 27.27500981657037)	(250, 28.26275312727885)	(255, 24.243475117218242)	(260, 25.341612206546433)	(265, 22.73185932375432)	(270, 24.38482294369259)	(275, 21.828225625490855)	(280, 19.650081341860208)	(285, 22.426118352971287)	(290, 20.560750599554016)	(295, 20.683777508937453)	(300, 18.202647177227462)
SRR35320051_1	(1, 32.98964396144052)	(2, 33.54643734085122)	(3, 33.84774008730447)	(4, 33.85543606766097)	(5, 33.954813113859586)	(6, 37.089964532557296)	(7, 35.46148599490724)	(8, 34.617747362677335)	(9, 33.18157739177883)	(10, 25.923119770825757)	(15, 30.368099763550383)	(20, 36.75144143324845)	(25, 36.99033284830848)	(30, 36.58273690432885)	(35, 37.01045250254829)	(40, 36.26473598191109)	(45, 37.15421396752019)	(50, 36.41881198890145)	(55, 36.50577399768039)	(60, 36.97676246710431)	(65, 36.14754724704919)	(70, 36.25967114689227)	(75, 35.65840824990663)	(80, 35.801888656674166)	(85, 35.201104306655466)	(90, 35.96713562695479)	(95, 36.14681682371706)	(100, 34.684624135951495)	(105, 34.89524004504043)	(110, 34.70075645254432)	(115, 34.05880118289354)	(120, 34.0531483166515)	(125, 33.88740317792514)	(130, 34.08743999430551)	(135, 33.88414431629472)	(140, 34.10772083077413)	(145, 33.9080051866512)	(150, 33.51463181601037)	(155, 33.648760860889)	(160, 33.21031298310739)	(165, 32.615754926726076)	(170, 33.00765353362993)	(175, 33.302946262001186)	(180, 32.823365336488145)	(185, 32.38051106288124)	(190, 32.66272966177859)	(195, 32.18505136460336)	(200, 32.81321349135421)	(205, 31.998687144482364)	(210, 32.21630034129693)	(215, 31.366221992790077)	(220, 31.63429390550518)	(225, 31.294714062871236)	(230, 31.020396368518057)	(235, 31.333015997382063)	(240, 31.07773049968144)	(245, 31.139555838718486)	(250, 30.550127423318468)	(255, 31.004682806953674)	(260, 30.964357877491587)	(265, 30.83620642577592)	(270, 30.256037317253544)	(275, 29.185619204732923)	(280, 29.866745548666024)	(285, 29.40052790261107)	(290, 27.20630980146766)	(295, 28.294494505113526)	(300, 26.349219856163067)
SRR35320051_2	(1, 33.34553473990542)	(2, 33.67815569297927)	(3, 30.356140869407056)	(4, 32.695298290287376)	(5, 33.618327118952344)	(6, 37.65205529283376)	(7, 35.52187158966897)	(8, 34.67142597308112)	(9, 37.26906375045471)	(10, 37.43561067660968)	(15, 37.392490451073115)	(20, 37.619943615860315)	(25, 37.18323026555111)	(30, 36.44451164059659)	(35, 36.676134988550615)	(40, 36.66480839405686)	(45, 36.74652197228188)	(50, 37.18165427551554)	(55, 36.416438169292675)	(60, 35.2336320588377)	(65, 36.124904223270626)	(70, 36.13693855510714)	(75, 37.01914170408685)	(80, 36.21517649064969)	(85, 35.56400177503085)	(90, 36.7053409426798)	(95, 35.73279370637321)	(100, 36.67727200381983)	(105, 36.027084422818945)	(110, 36.552877378868146)	(115, 36.671969714194766)	(120, 36.21191650940179)	(125, 34.95185875719061)	(130, 35.54656101498374)	(135, 34.44094950092085)	(140, 34.38660785339123)	(145, 33.75009663263682)	(150, 35.625829335394826)	(155, 34.01381278279257)	(160, 34.86268161251449)	(165, 34.235506241331485)	(170, 33.645365043996264)	(175, 32.44744321411519)	(180, 33.1847638753098)	(185, 32.369037657390365)	(190, 32.03315314715982)	(195, 33.397850758488936)	(200, 31.63844477719316)	(205, 31.309576173851735)	(210, 31.162570931462295)	(215, 31.278688151745)	(220, 30.397429978279906)	(225, 28.01105725851476)	(230, 30.415720524017466)	(235, 29.323276018922854)	(240, 27.713775927947598)	(245, 27.34456422852984)	(250, 28.1358874636099)	(255, 24.443281477438138)	(260, 25.536358260553133)	(265, 22.921617994905382)	(270, 24.42922385853187)	(275, 21.82669244328197)	(280, 19.702398362426795)	(285, 22.50720418490931)	(290, 20.53630749985785)	(295, 20.64044714199321)	(300, 17.97251562484305)
SRR35320062_1	(1, 33.54187597382362)	(2, 33.79501402306014)	(3, 33.92661888438766)	(4, 33.927491430352134)	(5, 33.8660641944531)	(6, 36.607503895294485)	(7, 34.67154876908694)	(8, 34.37585540666874)	(9, 33.1581925833593)	(10, 25.638337176690555)	(15, 30.32343284512309)	(20, 36.80193455905267)	(25, 37.05984418822062)	(30, 36.700332813960735)	(35, 37.033046812763814)	(40, 36.4088955372725)	(45, 37.206692467900695)	(50, 36.60168549131074)	(55, 36.5424070113276)	(60, 37.07600266605929)	(65, 36.339942404153156)	(70, 36.277575092603875)	(75, 35.84964688349341)	(80, 35.85573398203205)	(85, 35.381356676708194)	(90, 36.182095327370234)	(95, 36.330363206244)	(100, 34.73387097909999)	(105, 35.40562199912702)	(110, 35.0307937893621)	(115, 34.457235143730124)	(120, 34.5470828490929)	(125, 34.3334405866507)	(130, 34.57892347600519)	(135, 34.111544491593854)	(140, 34.27205018520135)	(145, 34.21730334341673)	(150, 33.79633018526732)	(155, 34.049672108602344)	(160, 33.573368921261704)	(165, 32.97188262664045)	(170, 33.374542178037814)	(175, 33.657807159785456)	(180, 32.91864537857053)	(185, 32.547034562991975)	(190, 32.961790717110105)	(195, 32.356185059062724)	(200, 33.37873991193604)	(205, 32.34271601242376)	(210, 32.979742793349054)	(215, 31.84557871496464)	(220, 32.10949119984034)	(225, 31.41365673516841)	(230, 31.30989172737252)	(235, 31.52689591996142)	(240, 31.39526104394605)	(245, 31.47319403729808)	(250, 31.00968003492796)	(255, 31.731201896089317)	(260, 31.313740410403547)	(265, 31.07896214058504)	(270, 30.60668514541759)	(275, 29.548698884758362)	(280, 30.420600783413583)	(285, 30.105940470547143)	(290, 27.70183006699018)	(295, 28.299234081047523)	(300, 27.452931274497182)
SRR35320062_2	(1, 33.26431910252415)	(2, 33.421813649111876)	(3, 30.19578684948582)	(4, 32.61412277968214)	(5, 33.5911374259894)	(6, 37.4260392645684)	(7, 35.51909005920847)	(8, 34.97487067622312)	(9, 37.31546276098473)	(10, 37.48963290744781)	(15, 37.367117482081646)	(20, 37.60051106263633)	(25, 37.23447803053911)	(30, 36.486294795886565)	(35, 36.612377687753195)	(40, 36.61564100966034)	(45, 36.82811592396386)	(50, 37.20170520411343)	(55, 36.43922987849665)	(60, 35.11494315915437)	(65, 36.19351067012365)	(70, 36.27774167679462)	(75, 37.13981526494895)	(80, 36.20540590663361)	(85, 35.702672650211916)	(90, 36.750174520069805)	(95, 35.776128147594115)	(100, 36.656896035901276)	(105, 35.93643979057592)	(110, 36.53786337571678)	(115, 36.42975567190227)	(120, 36.19164298180006)	(125, 35.125594614809266)	(130, 35.65424770901533)	(135, 34.66499289436287)	(140, 34.63643571268294)	(145, 33.57959061557257)	(150, 35.649392904335684)	(155, 34.192106509760904)	(160, 34.9946520731008)	(165, 34.73191807910422)	(170, 33.859357975441)	(175, 32.785730848345075)	(180, 33.715195412329365)	(185, 32.65920506867651)	(190, 32.26033711158117)	(195, 33.79899006271586)	(200, 32.01232372853884)	(205, 31.838405047192747)	(210, 31.621862025111277)	(215, 31.905375110656713)	(220, 31.135890178671623)	(225, 28.45223445722807)	(230, 31.101441360564575)	(235, 30.04195655968679)	(240, 28.03564250268073)	(245, 27.954791651081024)	(250, 28.873075484401888)	(255, 24.865856213062017)	(260, 25.694825565447246)	(265, 23.073255031046607)	(270, 25.290688417265038)	(275, 22.495696953827355)	(280, 20.601177072033316)	(285, 23.22999039888278)	(290, 21.262158657323123)	(295, 21.213006669799448)	(300, 18.990622307677697)
SRR35320071_1	(1, 33.56655126960905)	(2, 33.801294957776264)	(3, 33.928574532497066)	(4, 33.92743021857844)	(5, 33.87327085475904)	(6, 36.68469081796718)	(7, 34.90021292929878)	(8, 34.55951156626157)	(9, 33.332386980894306)	(10, 25.87262482436954)	(15, 30.337766704810463)	(20, 36.69251850457002)	(25, 37.12863536943958)	(30, 36.64739197821458)	(35, 37.05496317471754)	(40, 36.36586609496769)	(45, 37.19017846585665)	(50, 36.54456306512879)	(55, 36.53052863372303)	(60, 36.99370245929998)	(65, 36.35555999533698)	(70, 36.49410202353882)	(75, 36.01682705914179)	(80, 35.68507967319324)	(85, 35.42095988870856)	(90, 36.117165004801265)	(95, 36.25910711057327)	(100, 34.862029360581076)	(105, 35.3277063325025)	(110, 34.90023043144303)	(115, 34.330471775141255)	(120, 34.30273043478261)	(125, 34.12678260869565)	(130, 34.35999206862758)	(135, 34.11020029566074)	(140, 34.25100835307199)	(145, 34.11114396278099)	(150, 33.81451388486289)	(155, 34.00074578817525)	(160, 33.49984161879662)	(165, 32.96389167820052)	(170, 33.3)	(175, 33.51546245288489)	(180, 32.985114525949555)	(185, 32.6835488547405)	(190, 32.82434038851841)	(195, 32.23886053928675)	(200, 33.0896665700203)	(205, 32.221928095100026)	(210, 32.498138590895906)	(215, 31.602102058567702)	(220, 32.09403015366773)	(225, 31.37342371920035)	(230, 31.283427809269757)	(235, 31.682613044928026)	(240, 31.495107064673732)	(245, 31.284167186163508)	(250, 31.024176174666916)	(255, 31.266703393884917)	(260, 31.152326137698072)	(265, 31.11207213998869)	(270, 30.4949417921916)	(275, 29.518482972585065)	(280, 30.29858938486742)	(285, 29.820282123026516)	(290, 27.702950860325807)	(295, 28.098731944263584)	(300, 27.96914406439786)
SRR35320071_2	(1, 33.65389573706853)	(2, 33.46795196778539)	(3, 30.126280110665295)	(4, 32.569868331474424)	(5, 33.44703564755131)	(6, 37.44316815620609)	(7, 35.33655865695207)	(8, 34.84215710416154)	(9, 37.264727609832406)	(10, 37.483836203774786)	(15, 37.38079580514797)	(20, 37.60851137795675)	(25, 37.16234193258688)	(30, 36.44817127047815)	(35, 36.54778452134362)	(40, 36.67034778452135)	(45, 36.72450425134348)	(50, 37.11946057910975)	(55, 36.31812216637455)	(60, 35.04504830742935)	(65, 35.99363529701465)	(70, 36.141196749569076)	(75, 37.068163448585544)	(80, 36.12317742659733)	(85, 35.54637633954096)	(90, 36.658783480364455)	(95, 35.57581156838033)	(100, 36.61137716744166)	(105, 36.03343618269524)	(110, 36.4285283849753)	(115, 36.571822172004694)	(120, 36.16025668882998)	(125, 34.990813089392034)	(130, 35.66351744817696)	(135, 34.39902365535324)	(140, 34.564350383150085)	(145, 33.72584705865311)	(150, 35.686384772500105)	(155, 33.92325409586719)	(160, 35.075511711790014)	(165, 34.40476549975898)	(170, 33.91539085588457)	(175, 32.617219099495856)	(180, 33.583119893376605)	(185, 32.866937098487504)	(190, 32.245847750494114)	(195, 33.69829167572267)	(200, 31.94772440773745)	(205, 31.426113163804967)	(210, 31.523587625878434)	(215, 31.330319495761792)	(220, 30.499804390349926)	(225, 28.223397805763604)	(230, 30.68791387129961)	(235, 29.663825656035822)	(240, 27.988894845898596)	(245, 27.97704780258792)	(250, 28.81673307927492)	(255, 25.015107298624894)	(260, 26.18576789880168)	(265, 23.61257154449162)	(270, 24.880723921579992)	(275, 22.3365916566444)	(280, 20.28768203092171)	(285, 23.220720733774794)	(290, 20.840933442013636)	(295, 21.28391979315298)	(300, 18.782902261725784)
SRR35320072_1	(1, 33.73296785983016)	(2, 33.91701601633881)	(3, 33.95367085886273)	(4, 33.91841341502741)	(5, 33.93165645490702)	(6, 37.463850370848114)	(7, 36.3141782220789)	(8, 36.0117381489842)	(9, 35.440266580672905)	(10, 31.742676555949693)	(15, 34.199595829302375)	(20, 37.24132000429969)	(25, 37.332224013759)	(30, 37.316173277437386)	(35, 37.30074169622702)	(40, 37.09947328818661)	(45, 37.420991078146834)	(50, 37.1202665806729)	(55, 37.06400945931419)	(60, 37.38618510158014)	(65, 36.82790927657745)	(70, 36.74937976996668)	(75, 36.411424271740295)	(80, 36.13292056325916)	(85, 35.766488229603354)	(90, 36.57876383962163)	(95, 36.5666215199398)	(100, 35.53149306675265)	(105, 36.283813823497795)	(110, 36.29597334193271)	(115, 35.68102762549715)	(120, 35.496613995485326)	(125, 35.08221863914866)	(130, 34.99665914221219)	(135, 34.856274320111794)	(140, 34.89771041599484)	(145, 34.916297968397295)	(150, 34.58005804579169)	(155, 35.15561431796194)	(160, 34.72719337848006)	(165, 34.214273657893344)	(170, 34.10273059557085)	(175, 34.4529004515158)	(180, 34.343139109868844)	(185, 33.82427864975274)	(190, 33.92084282949904)	(195, 33.3181208342292)	(200, 33.911008385293485)	(205, 33.30503547624166)	(210, 33.21804773167061)	(215, 32.384446355622444)	(220, 32.95403569124919)	(225, 32.679952698344444)	(230, 32.70997634917222)	(235, 31.92135024725865)	(240, 32.1551795312836)	(245, 31.893812083422922)	(250, 31.609542033971188)	(255, 31.86942592990755)	(260, 30.966794237798325)	(265, 30.290402064072243)	(270, 29.697699419479683)	(275, 29.431025585895508)	(280, 29.118946463126207)	(285, 27.762592990754676)	(290, 26.751674908621805)	(295, 25.464810543226726)	(300, 26.286783782929767)
SRR35320072_2	(1, 33.20092443297861)	(2, 32.77041814468451)	(3, 33.83577340642803)	(4, 33.89177684617865)	(5, 33.62300333225841)	(6, 37.52931312479845)	(7, 36.19013221541438)	(8, 35.92606686015264)	(9, 37.286939696871976)	(10, 37.01140277329893)	(15, 37.277170805116626)	(20, 37.603194668386536)	(25, 37.31904546920348)	(30, 37.15767386864452)	(35, 37.21287326668816)	(40, 37.03504245942169)	(45, 37.033731054498546)	(50, 37.15114694184672)	(55, 36.48563637311468)	(60, 35.895640022358855)	(65, 36.55201014748248)	(70, 36.79533043814765)	(75, 37.50893064453713)	(80, 36.62098292987058)	(85, 36.15092230296255)	(90, 36.81325192415187)	(95, 36.34101130842327)	(100, 36.810383970417504)	(105, 36.50978200111794)	(110, 36.64447263189577)	(115, 36.81640366341317)	(120, 36.30014619254418)	(125, 35.86102248785312)	(130, 36.69139183901621)	(135, 35.61058606011093)	(140, 35.30906823751989)	(145, 34.52181708732855)	(150, 36.04249043298792)	(155, 34.53596336586834)	(160, 35.404213785096964)	(165, 35.254921427303)	(170, 34.84665763615644)	(175, 32.872080672558)	(180, 34.085940355630086)	(185, 34.28038014147799)	(190, 32.61407899546324)	(195, 33.69365929174999)	(200, 31.76719774667269)	(205, 31.19535143735621)	(210, 32.046919950977234)	(215, 31.52821627859554)	(220, 29.743215759958712)	(225, 28.57393318315993)	(230, 30.300240016700048)	(235, 28.38274420208639)	(240, 27.1332514279556)	(245, 28.78348141740154)	(250, 27.646809794792205)	(255, 24.987219684530757)	(260, 23.416141061843895)	(265, 22.978715240353523)	(270, 23.258034059064453)	(275, 22.667186893727095)	(280, 20.992278538771593)	(285, 20.81931571284948)	(290, 19.627646153248342)	(295, 21.25821136238155)	(300, 15.607340899812623)
