Sample	Unique Reads	Duplicate Reads
SRR35320041_1	6217.0	65122.0
SRR35320041_2	6150.0	65189.0
SRR35320051_1	6892.0	81076.0
SRR35320051_2	6844.0	81124.0
SRR35320062_1	5898.0	74327.0
SRR35320062_2	5811.0	74414.0
SRR35320071_1	5596.0	63441.0
SRR35320071_2	6101.0	62936.0
SRR35320072_1	3585.0	42930.0
SRR35320072_2	3784.0	42731.0
SRR35320073_1	3502.0	42237.0
SRR35320073_2	4305.0	41434.0
SRR35320074_1	3361.0	46949.0
SRR35320074_2	3871.0	46439.0
SRR35320075_1	2587.0	32997.0
SRR35320075_2	2869.0	32715.0
SRR35320076_1	3250.0	40767.0
SRR35320076_2	4311.0	39706.0
SRR35320077_1	3598.0	41680.0
SRR35320077_2	4190.0	41088.0
SRR35320078_1	2945.0	32400.0
SRR35320078_2	3594.0	31751.0
SRR35320079_1	3405.0	42496.0
SRR35320079_2	4035.0	41866.0
SRR35320080_1	4044.0	48427.0
SRR35320080_2	4540.0	47931.0
SRR35320081_1	2307.0	32196.0
SRR35320081_2	2688.0	31815.0
SRR35320082_1	2800.0	36901.0
SRR35320082_2	3397.0	36304.0
SRR35320083_2	3913.0	46961.0
SRR35320084_1	3843.0	48481.0
SRR35320084_2	4160.0	48164.0
SRR35320085_1	4010.0	45987.0
SRR35320085_2	4432.0	45565.0
SRR35320086_1	2601.0	34705.0
SRR35320086_2	3105.0	34201.0
SRR35320087_1	3873.0	45893.0
SRR35320087_2	3839.0	45927.0
SRR35320088_1	3473.0	37591.0
SRR35320088_2	4329.0	36735.0
SRR35320089_1	3618.0	44125.0
SRR35320089_2	4510.0	43233.0
SRR35320090_1	3171.0	41793.0
SRR35320090_2	4014.0	40950.0
SRR35320091_1	3496.0	49484.0
SRR35320091_2	4125.0	48855.0
SRR35320092_1	5604.0	67131.0
SRR35320092_2	5544.0	67191.0
SRR35320093_1	3530.0	35635.0
SRR35320093_2	5211.0	33954.0
SRR35320094_1	3954.0	42576.0
SRR35320094_2	5740.0	40790.0
SRR35320095_1	5612.0	57107.0
SRR35320095_2	5645.0	57074.0
SRR35320100_1	7622.0	81612.0
SRR35320100_2	7508.0	81726.0
SRR35320110_1	4521.0	37356.0
SRR35320110_2	6477.0	35400.0
SRR35320111_1	4904.0	55955.0
SRR35320111_2	5555.0	55304.0
SRR35320112_1	5346.0	57095.0
SRR35320112_2	5630.0	56811.0
SRR35320113_1	4783.0	50511.0
SRR35320113_2	4649.0	50645.0
SRR35320114_1	6192.0	72157.0
SRR35320114_2	6198.0	72151.0
SRR35320115_1	4280.0	52498.0
SRR35320115_2	4247.0	52531.0
SRR35320116_1	4896.0	52420.0
SRR35320116_2	4370.0	52946.0
SRR35320117_1	4559.0	50877.0
SRR35320117_2	4479.0	50957.0
SRR35320118_1	2806.0	31258.0
SRR35320118_2	2688.0	31376.0
SRR35320119_1	5341.0	54277.0
SRR35320119_2	5650.0	53968.0
SRR35320120_1	4913.0	55329.0
SRR35320120_2	5435.0	54807.0
SRR35320121_1	3792.0	33786.0
SRR35320121_2	5159.0	32419.0
SRR35320122_1	4214.0	36655.0
SRR35320122_2	5926.0	34943.0
SRR35320123_1	3874.0	34853.0
SRR35320123_2	5789.0	32938.0
SRR35320124_1	3746.0	31489.0
SRR35320124_2	5696.0	29539.0
SRR35320125_1	6384.0	80047.0
SRR35320125_2	6362.0	80069.0
SRR35320126_1	5969.0	70690.0
SRR35320126_2	6116.0	70543.0
SRR35320128_1	5856.0	71021.0
SRR35320128_2	6362.0	70515.0
SRR35320139_1	5517.0	65965.0
SRR35320139_2	5801.0	65681.0
SRR35320140_1	5769.0	71807.0
SRR35320140_2	6185.0	71391.0
SRR35320141_1	4286.0	42684.0
SRR35320141_2	4069.0	42901.0
