Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR35320041_1	(1.0, 5.899998598242195)	(2.0, 2.5596097506272866)	(3.0, 1.5895933500609762)	(4.0, 0.7737703079661896)	(5.0, 0.6728437460575561)	(6.0, 0.4962222627174477)	(7.0, 0.44155370835027125)	(8.0, 0.4037062476345337)	(9.0, 0.2270847642944252)	('>10', 4.938392744501606)	('>50', 3.8730568132438075)	('>100', 24.372362943130685)	('>500', 24.49291411429933)	('>1k', 29.258890648873688)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320041_2	(1.0, 5.880373988982184)	(2.0, 2.1699210810356186)	(3.0, 1.2868136643350763)	(4.0, 0.8298406201376526)	(5.0, 0.623782222907526)	(6.0, 0.5130433563688865)	(7.0, 0.3924921852002411)	(8.0, 0.4373484349374115)	(9.0, 0.37847460715737535)	('>10', 8.118981202427843)	('>50', 8.51427690323666)	('>100', 27.851525813369964)	('>500', 28.900040650976322)	('>1k', 14.103085268927234)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320051_1	(1.0, 5.030238268461259)	(2.0, 2.4327028010185523)	(3.0, 1.4596216806111313)	(4.0, 0.9594397962895598)	(5.0, 0.733221171335031)	(6.0, 0.5933975991269552)	(7.0, 0.5729356129501637)	(8.0, 0.5456529647144416)	(9.0, 0.24554383412149872)	('>10', 5.037058930520189)	('>50', 3.171607857402692)	('>100', 14.341578755911241)	('>500', 23.76091305929429)	('>1k', 41.116087668243)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320051_2	(1.0, 5.189387049836304)	(2.0, 2.0530192797380864)	(3.0, 1.272053473990542)	(4.0, 0.7957439068752273)	(5.0, 0.6024918152055293)	(6.0, 0.5592942888323026)	(7.0, 0.5092761004001455)	(8.0, 0.25463805020007274)	(9.0, 0.23531284103310296)	('>10', 8.01314114223354)	('>50', 4.3800018188432155)	('>100', 26.42097126227719)	('>500', 33.9884958166606)	('>1k', 15.726173153874138)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320062_1	(1.0, 4.820193206606419)	(2.0, 2.2536615768152073)	(3.0, 1.2863820504830166)	(4.0, 0.992209411031474)	(5.0, 0.7291991274540355)	(6.0, 0.49361171704580864)	(7.0, 0.43627298223745714)	(8.0, 0.37893424742910564)	(9.0, 0.2355874104082269)	('>10', 3.680897475849174)	('>50', 2.1452165783733252)	('>100', 25.416017450919288)	('>500', 19.005297600498597)	('>1k', 31.657214085384854)	('>5k', 6.469305079464008)	('>10k+', 0.0)
SRR35320062_2	(1.0, 4.9573075724524776)	(2.0, 1.8448114677469616)	(3.0, 1.0732315363041445)	(4.0, 0.6232471174820816)	(5.0, 0.5609224057338735)	(6.0, 0.5235275786849486)	(7.0, 0.29666562792147083)	(8.0, 0.2891866625116859)	(9.0, 0.358990339669679)	('>10', 6.390775942661266)	('>50', 3.010283577438454)	('>100', 33.75007790588968)	('>500', 4.624493611717046)	('>1k', 41.69647865378623)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320071_1	(1.0, 5.249359039355707)	(2.0, 2.334979793444095)	(3.0, 1.5339600504077522)	(4.0, 0.8633051841766011)	(5.0, 0.688036849805177)	(6.0, 0.5301504990077784)	(7.0, 0.5576719729999855)	(8.0, 0.4287555948259629)	(9.0, 0.3519851673740168)	('>10', 7.5553688601764275)	('>50', 5.679563132812839)	('>100', 21.246577921983864)	('>500', 10.649361936352971)	('>1k', 42.33092399727682)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320071_2	(1.0, 5.867867954864782)	(2.0, 2.2770398481973433)	(3.0, 1.1993568666077612)	(4.0, 0.8633051841766011)	(5.0, 0.6952793429610209)	(6.0, 0.5214595072207656)	(7.0, 0.567811463418167)	(8.0, 0.4751075510233643)	(9.0, 0.48235004417920824)	('>10', 9.570230456132219)	('>50', 12.839491866680186)	('>100', 32.462302823123835)	('>500', 32.17839709141475)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320072_1	(1.0, 4.92099322799097)	(2.0, 2.3777276147479305)	(3.0, 1.2189616252821671)	(4.0, 0.9201332903364506)	(5.0, 0.6449532408900355)	(6.0, 0.37407287971622055)	(7.0, 0.33107599699021817)	(8.0, 0.4815650865312265)	(9.0, 0.3676233473073202)	('>10', 8.72406750510588)	('>50', 5.441255508975599)	('>100', 23.98796087283672)	('>500', 23.082876491454368)	('>1k', 27.126733311834894)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320072_2	(1.0, 5.110179511985382)	(2.0, 2.3562291733849294)	(3.0, 1.3028055465978716)	(4.0, 0.9201332903364506)	(5.0, 0.6342040202085348)	(6.0, 0.5675588519832312)	(7.0, 0.5869074492099322)	(8.0, 0.3439750618080189)	(9.0, 0.19348597226701064)	('>10', 10.222508868107063)	('>50', 11.912286359238955)	('>100', 16.979468988498333)	('>500', 48.87025690637429)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
