Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR35320041_1	(30, 7.0)	(40, 13.0)	(50, 2.0)	(60, 5.0)	(70, 10.0)	(80, 3.0)	(90, 2.0)	(100, 1.0)	(110, 2.0)	(120, 2.0)	(130, 0.0)	(140, 0.0)	(150, 6.0)	(160, 5.0)	(170, 0.0)	(180, 2.0)	(190, 0.0)	(200, 0.0)	(210, 0.0)	(220, 10.0)	(230, 0.0)	(240, 0.0)	(250, 2.0)	(260, 1.0)	(270, 1.0)	(280, 1.0)	(290, 5739.0)	(300, 65525.0)																						
SRR35320041_2	(30, 1.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 2.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 17.0)	(190, 1.0)	(200, 0.0)	(210, 0.0)	(220, 10.0)	(230, 0.0)	(240, 0.0)	(250, 2.0)	(260, 1.0)	(270, 1.0)	(280, 1.0)	(290, 615.0)	(300, 70688.0)																						
SRR35320051_1	(30, 4.0)	(40, 15.0)	(50, 3.0)	(60, 4.0)	(70, 10.0)	(80, 7.0)	(90, 3.0)	(100, 1.0)	(110, 1.0)	(120, 1.0)	(130, 1.0)	(140, 0.0)	(150, 5.0)	(160, 4.0)	(170, 1.0)	(180, 7.0)	(190, 0.0)	(200, 1.0)	(210, 1.0)	(220, 1.0)	(230, 2.0)	(240, 0.0)	(250, 0.0)	(260, 1.0)	(270, 0.0)	(280, 0.0)	(290, 6669.0)	(300, 81226.0)																						
SRR35320051_2	(30, 1.0)	(40, 1.0)	(50, 0.0)	(60, 1.0)	(70, 0.0)	(80, 3.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 22.0)	(190, 2.0)	(200, 1.0)	(210, 0.0)	(220, 1.0)	(230, 0.0)	(240, 0.0)	(250, 0.0)	(260, 1.0)	(270, 0.0)	(280, 0.0)	(290, 677.0)	(300, 87258.0)																						
SRR35320062_1	(30, 5.0)	(40, 6.0)	(50, 1.0)	(60, 3.0)	(70, 11.0)	(80, 7.0)	(90, 6.0)	(100, 1.0)	(110, 0.0)	(120, 1.0)	(130, 1.0)	(140, 1.0)	(150, 5.0)	(160, 6.0)	(170, 1.0)	(180, 1.0)	(190, 0.0)	(200, 0.0)	(210, 0.0)	(220, 1.0)	(230, 1.0)	(240, 2.0)	(250, 0.0)	(260, 0.0)	(270, 3.0)	(280, 1.0)	(290, 8974.0)	(300, 71187.0)																						
SRR35320062_2	(55, 1.0)	(60, 0.0)	(65, 0.0)	(70, 1.0)	(75, 0.0)	(80, 3.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 2.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 3.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 10.0)	(190, 2.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 1.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 3.0)	(275, 0.0)	(280, 0.0)	(285, 1.0)	(290, 1.0)	(295, 783.0)	(300, 79414.0)
SRR35320071_1	(30, 3.0)	(40, 6.0)	(50, 1.0)	(60, 6.0)	(70, 10.0)	(80, 3.0)	(90, 3.0)	(100, 4.0)	(110, 1.0)	(120, 0.0)	(130, 2.0)	(140, 2.0)	(150, 8.0)	(160, 8.0)	(170, 0.0)	(180, 0.0)	(190, 0.0)	(200, 0.0)	(210, 0.0)	(220, 3.0)	(230, 0.0)	(240, 0.0)	(250, 0.0)	(260, 0.0)	(270, 0.0)	(280, 0.0)	(290, 8529.0)	(300, 60448.0)																						
SRR35320071_2	(85, 4.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 5.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 10.0)	(190, 3.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 2.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 1.0)	(295, 420.0)	(300, 68592.0)						
SRR35320072_1	(165, 5.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 8112.0)	(300, 38398.0)																						
SRR35320072_2	(55, 1.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 5.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 3.0)	(220, 104.0)	(225, 5.0)	(230, 1.0)	(235, 1.0)	(240, 1.0)	(245, 2.0)	(250, 0.0)	(255, 1.0)	(260, 1.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 6.0)	(285, 34.0)	(290, 9.0)	(295, 285.0)	(300, 46056.0)
SRR35320073_1	(30, 1.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 2.0)	(160, 4.0)	(170, 0.0)	(180, 1.0)	(190, 0.0)	(200, 0.0)	(210, 1.0)	(220, 0.0)	(230, 0.0)	(240, 2.0)	(250, 5.0)	(260, 0.0)	(270, 2.0)	(280, 3.0)	(290, 8256.0)	(300, 37462.0)																						
