Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR35320041_1	SRR35320041_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71339.0	21.4 Mbp	0.0	35-301	52.0	8.714728269249639	300.28284668974896	301	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320041_2	SRR35320041_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71339.0	21.4 Mbp	0.0	35-301	51.0	8.620810496362438	300.891763271142	301	pass	fail	fail	pass	fail	fail	warn	warn	fail	fail	pass
SRR35320051_1	SRR35320051_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87968.0	26.4 Mbp	0.0	35-301	52.0	7.834667151691524	300.3438182066206	301	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320051_2	SRR35320051_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87968.0	26.4 Mbp	0.0	35-301	51.0	7.78010185522008	300.9000204619862	301	pass	fail	fail	pass	fail	warn	warn	warn	fail	fail	pass
SRR35320062_1	SRR35320062_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80225.0	24.1 Mbp	0.0	35-301	51.0	7.351822997818635	300.12437519476475	301	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320062_2	SRR35320062_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80225.0	24.1 Mbp	0.0	58-301	50.0	7.243377999376753	300.91842941726395	301	pass	fail	fail	pass	fail	fail	warn	warn	fail	fail	pass
SRR35320071_1	SRR35320071_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69037.0	20.7 Mbp	0.0	35-301	53.0	8.105798340020568	300.02822399582834	301	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320071_2	SRR35320071_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69037.0	20.7 Mbp	0.0	86-301	51.0	8.83729014876081	300.93003751611457	301	pass	fail	fail	pass	fail	fail	warn	warn	fail	fail	pass
SRR35320072_1	SRR35320072_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46515.0	13.9 Mbp	0.0	166-301	51.0	7.707191228635923	300.2880146189401	301	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320072_2	SRR35320072_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46515.0	13.9 Mbp	0.0	58-301	50.0	8.135010211759647	300.7431796194776	301	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320073_1	SRR35320073_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45739.0	13.7 Mbp	0.0	35-301	52.0	7.656485712411727	299.78833162071754	301	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320073_2	SRR35320073_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45739.0	13.7 Mbp	0.0	156-301	52.0	9.412099083932748	300.7949233695533	301	pass	fail	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR35320074_1	SRR35320074_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50310.0	15.1 Mbp	0.0	178-301	51.0	6.6805804015106345	300.33546014708804	301	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320074_2	SRR35320074_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50310.0	15 Mbp	0.0	178-301	51.0	7.694295368713973	300.75420393559926	301	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320075_1	SRR35320075_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35584.0	10.7 Mbp	0.0	97-301	51.0	7.270121402877698	300.7269840377698	301	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320075_2	SRR35320075_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35584.0	10.6 Mbp	0.0	97-301	50.0	8.059802158273381	300.81244379496405	301	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320076_1	SRR35320076_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44017.0	13.2 Mbp	0.0	71-301	51.0	7.383510916236909	300.50700865574663	301	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320076_2	SRR35320076_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44017.0	13.2 Mbp	0.0	71-301	51.0	9.793943249199174	300.79496558147986	301	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320077_1	SRR35320077_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45278.0	13.6 Mbp	0.0	41-301	52.0	7.944255488316622	300.1664163611467	301	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320077_2	SRR35320077_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45278.0	13.5 Mbp	0.0	166-301	52.0	9.253942311939573	300.8101285392464	301	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320078_1	SRR35320078_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35345.0	10.6 Mbp	0.0	35-301	52.0	8.332154477295232	300.35125194511244	301	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320078_2	SRR35320078_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35345.0	10.6 Mbp	0.0	35-301	51.0	10.165511387749328	300.7848351959259	301	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320079_1	SRR35320079_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45901.0	13.8 Mbp	0.0	35-301	51.0	7.418139038365178	300.64458290669046	301	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320079_2	SRR35320079_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45901.0	13.7 Mbp	0.0	35-301	50.0	8.79065815559574	300.74136729047297	301	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320080_1	SRR35320080_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52471.0	15.7 Mbp	0.0	35-301	52.0	7.707114406052868	300.3676602313659	301	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320080_2	SRR35320080_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52471.0	15.7 Mbp	0.0	35-301	51.0	8.65239846772503	300.90328943606943	301	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320081_1	SRR35320081_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34503.0	10.3 Mbp	0.0	35-301	53.0	6.6863750978175815	300.5052749036316	301	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320081_2	SRR35320081_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34503.0	10.3 Mbp	0.0	35-301	52.0	7.787728603309857	300.8039445845289	301	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320082_1	SRR35320082_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39701.0	11.9 Mbp	0.0	35-301	51.0	7.052719075086269	300.8879877081182	301	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320082_2	SRR35320082_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39701.0	11.9 Mbp	0.0	35-301	51.0	8.553940706783205	300.7598423213521	301	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320083_2	SRR35320083_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50874.0	15.2 Mbp	0.0	35-301	51.0	7.691551676691434	300.73758697959664	301	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320084_1	SRR35320084_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52324.0	15.7 Mbp	0.0	35-301	52.0	7.3446219707973395	300.4021768213439	301	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR35320084_2	SRR35320084_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52324.0	15.7 Mbp	0.0	35-301	51.0	7.9504625028667535	300.7798237902301	301	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
