Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR35320041_1	91.28527173075037	52.0	300.28284668974896	301	36.36363636363637	0.071339
SRR35320041_2	91.37918950363756	51.0	300.891763271142	301	54.54545454545454	0.071339
SRR35320051_1	92.16533284830848	52.0	300.3438182066206	301	36.36363636363637	0.08796799999999999
SRR35320051_2	92.21989814477992	51.0	300.9000204619862	301	45.45454545454545	0.08796799999999999
SRR35320062_1	92.64817700218137	51.0	300.12437519476475	301	36.36363636363637	0.08022499999999999
SRR35320062_2	92.75662200062325	50.0	300.91842941726395	301	54.54545454545454	0.08022499999999999
SRR35320071_1	91.89420165997943	53.0	300.02822399582834	301	36.36363636363637	0.069037
SRR35320071_2	91.16270985123919	51.0	300.93003751611457	301	54.54545454545454	0.069037
SRR35320072_1	92.29280877136408	51.0	300.2880146189401	301	45.45454545454545	0.046515
SRR35320072_2	91.86498978824035	50.0	300.7431796194776	301	45.45454545454545	0.046515
SRR35320073_1	92.34351428758828	52.0	299.78833162071754	301	36.36363636363637	0.045738999999999995
SRR35320073_2	90.58790091606726	52.0	300.7949233695533	301	36.36363636363637	0.045738999999999995
SRR35320074_1	93.31941959848936	51.0	300.33546014708804	301	36.36363636363637	0.05031
SRR35320074_2	92.30570463128603	51.0	300.75420393559926	301	45.45454545454545	0.05031
SRR35320075_1	92.72987859712231	51.0	300.7269840377698	301	36.36363636363637	0.035584
SRR35320075_2	91.94019784172662	50.0	300.81244379496405	301	45.45454545454545	0.035584
SRR35320076_1	92.61648908376308	51.0	300.50700865574663	301	36.36363636363637	0.044017
SRR35320076_2	90.20605675080083	51.0	300.79496558147986	301	45.45454545454545	0.044017
SRR35320077_1	92.05574451168337	52.0	300.1664163611467	301	36.36363636363637	0.045278
SRR35320077_2	90.74605768806043	52.0	300.8101285392464	301	45.45454545454545	0.045278
SRR35320078_1	91.66784552270477	52.0	300.35125194511244	301	36.36363636363637	0.035345
SRR35320078_2	89.83448861225067	51.0	300.7848351959259	301	45.45454545454545	0.035345
SRR35320079_1	92.58186096163482	51.0	300.64458290669046	301	36.36363636363637	0.045901
SRR35320079_2	91.20934184440426	50.0	300.74136729047297	301	45.45454545454545	0.045901
SRR35320080_1	92.29288559394713	52.0	300.3676602313659	301	45.45454545454545	0.052471
SRR35320080_2	91.34760153227496	51.0	300.90328943606943	301	54.54545454545454	0.052471
SRR35320081_1	93.31362490218243	53.0	300.5052749036316	301	36.36363636363637	0.034503
SRR35320081_2	92.21227139669014	52.0	300.8039445845289	301	45.45454545454545	0.034503
SRR35320082_1	92.94728092491373	51.0	300.8879877081182	301	36.36363636363637	0.039701
SRR35320082_2	91.44605929321679	51.0	300.7598423213521	301	45.45454545454545	0.039701
SRR35320083_2	92.30844832330857	51.0	300.73758697959664	301	45.45454545454545	0.050873999999999996
SRR35320084_1	92.65537802920267	52.0	300.4021768213439	301	45.45454545454545	0.052323999999999996
SRR35320084_2	92.04953749713324	51.0	300.7798237902301	301	45.45454545454545	0.052323999999999996
SRR35320085_1	91.97951877112627	51.0	300.53453207192433	301	45.45454545454545	0.049997
SRR35320085_2	91.13546812808768	51.0	300.4446066764006	301	45.45454545454545	0.049997
SRR35320086_1	93.02793116388784	52.0	300.9159920656195	301	36.36363636363637	0.037306
SRR35320086_2	91.67962258081809	52.0	300.7225915402348	301	45.45454545454545	0.037306
SRR35320087_1	92.21757826628622	54.0	300.75174818148935	301	36.36363636363637	0.049766
SRR35320087_2	92.28589800265242	53.0	300.6895772213961	301	45.45454545454545	0.049766
SRR35320088_1	91.54247029027859	53.0	299.774230469511	301	36.36363636363637	0.041063999999999996
SRR35320088_2	89.46035456847846	53.0	299.8308250535749	301	45.45454545454545	0.041063999999999996
SRR35320089_1	92.42192572733175	52.0	300.6728839829923	301	36.36363636363637	0.047743
SRR35320089_2	90.55358900781266	51.0	300.73583561988147	301	45.45454545454545	0.047743
SRR35320090_1	92.94769148652256	51.0	300.9525398096255	301	36.36363636363637	0.044964
SRR35320090_2	91.0728582866293	51.0	300.79336802775555	301	45.45454545454545	0.044964
SRR35320091_1	93.40128350320876	52.0	300.59624386560967	301	36.36363636363637	0.05298
SRR35320091_2	92.2140430351076	51.0	300.7342487731219	301	45.45454545454545	0.05298
