	SRR35320041	SRR35320051	SRR35320062	SRR35320071	SRR35320072	SRR35320073	SRR35320074	SRR35320075	SRR35320076	SRR35320077	SRR35320078	SRR35320079	SRR35320080	SRR35320081	SRR35320082	SRR35320084	SRR35320085	SRR35320086	SRR35320087	SRR35320088	SRR35320089	SRR35320090	SRR35320091	SRR35320092	SRR35320093	SRR35320094	SRR35320095	SRR35320100	SRR35320110	SRR35320111	SRR35320112	SRR35320113	SRR35320114	SRR35320115	SRR35320116	SRR35320117	SRR35320118	SRR35320119	SRR35320120	SRR35320121	SRR35320122	SRR35320123	SRR35320124	SRR35320125	SRR35320126	SRR35320128	SRR35320139	SRR35320140	SRR35320141
ASV_0001	30	15	8	0	0	0	0	148	332	0	0	0	0	0	0	84	308	81	1664	533	716	826	22	55	0	0	306	177	17	120	0	188	221	0	0	85	12	1397	748	420	0	200	56	0	9	915	57	121	18
ASV_0002	0	207	25	7	0	0	171	14	0	0	0	1291	0	0	1143	0	175	0	7	0	0	164	127	0	0	13	49	99	578	627	0	245	402	0	516	0	0	15	295	57	46	0	0	1757	561	16	250	0	0
ASV_0003	484	46	59	7	58	37	21	33	0	95	0	479	311	21	16	45	42	0	13	0	37	10	84	89	808	239	0	70	0	296	392	139	99	135	214	49	2	0	120	5	29	75	0	270	59	10	8	0	64
ASV_0004	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	26	24	0	0	42	0	0	0	0	415	0	66	0	0	0	0	1245	0	0	0	0	0	0	0	35	687	0
ASV_0005	0	0	0	0	0	0	0	0	302	0	0	0	0	0	74	0	0	51	25	0	0	0	0	0	0	0	994	65	0	0	534	0	0	0	0	77	0	0	0	0	137	0	0	0	0	0	0	0	0
ASV_0006	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	51	0	60	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	95	1443	0	0	0	0	0	3	0	0	0	0	0
ASV_0007	0	0	0	0	0	0	0	0	11	47	0	0	0	0	0	85	4	0	0	971	9	0	0	0	0	0	0	108	0	0	0	18	0	0	0	53	0	0	160	0	0	0	0	0	0	229	0	0	124
ASV_0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	71	256	0	0	0	0	0	0	0	0	316	0
ASV_0009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	64	179
ASV_0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	319	34	0	0	0	0	0	0	0	8	0	0	9	0	0	0	0	0	0	0	0	0	0
ASV_0012	0	0	0	0	3	0	0	0	0	0	0	0	0	0	11	8	3	0	40	174	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	25	26	19	10	16	0	0	0	22	0	5	0
ASV_0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389	0
ASV_0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0015	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	111	0	0	0	0	0	0	0	0	63	0
ASV_0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0
ASV_0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
