Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,collection_method,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study
SRR35320041,AMPLICON,600,42870559,PRJNA1321953,SAMN51231085,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",27501260,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421935,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0065,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:57:00Z,1,324-0065,324-0065_non attempters 2,SRP618695
SRR35320051,AMPLICON,601,52869386,PRJNA1321953,SAMN51231084,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",33837100,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421925,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0059,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0059,324-0059_attempters 7,SRP618695
SRR35320062,AMPLICON,601,48220175,PRJNA1321953,SAMN51231083,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",30319981,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421914,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0054,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0054,324-0054_attempters 6,SRP618695
SRR35320071,AMPLICON,600,41476966,PRJNA1321953,SAMN51231082,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",26186708,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421905,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0049,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0049,324-0049_attempters 5,SRP618695
SRR35320072,AMPLICON,600,27932952,PRJNA1321953,SAMN51231126,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",17133688,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421904,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0208,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0208,324-0208_attempters 35,SRP618695
SRR35320073,AMPLICON,600,27458118,PRJNA1321953,SAMN51231125,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",16680476,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421903,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0207,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:57:00Z,1,324-0207,324-0207_non attempters 15,SRP618695
SRR35320074,AMPLICON,600,30216971,PRJNA1321953,SAMN51231124,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",18501507,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421902,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0201,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:57:00Z,1,324-0201,324-0201 _attempters 34,SRP618695
SRR35320075,AMPLICON,601,21387436,PRJNA1321953,SAMN51231123,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",13196458,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421901,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0197,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:57:00Z,1,324-0197,324-0197_non attempters 14,SRP618695
SRR35320076,AMPLICON,600,26428722,PRJNA1321953,SAMN51231122,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",16153357,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421900,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0196,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0196,324-0196_attempters 33,SRP618695
SRR35320077,AMPLICON,600,27191972,PRJNA1321953,SAMN51231121,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",16641297,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421899,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0193,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0193,324-0193_attempters 32,SRP618695
